path,is_dir,size_bytes,type,status,lifecycle,git_policy,scanned_at,notes
.backups,True,80191,directory,current,current,review,2026-08-09T10:48:07Z,
.claude,True,32905,directory,current,current,review,2026-08-09T10:48:07Z,
.cursor,True,21944,directory,current,current,review,2026-08-09T10:48:07Z,
.env,False,472,file,current,current,review,2026-08-09T10:48:07Z,
.env.example,False,803,file,current,current,review,2026-08-09T10:48:07Z,
.gitignore,False,1211,file,current,current,review,2026-08-09T10:48:07Z,
.playwright-cli,True,6123205,directory,current,current,review,2026-08-09T10:48:07Z,
.pytest_cache,True,17712,directory,current,current,review,2026-08-09T10:48:07Z,
.venv-nninteractive,True,14028409,directory,current,current,review,2026-08-09T10:48:07Z,
.vscode,True,4134,directory,current,current,review,2026-08-09T10:48:07Z,
.worktrees,True,1079741159,directory,current,current,review,2026-08-09T10:48:07Z,
20260612193806-转写_Yijun Huang的个人会议室-逐字稿文本-1.txt,False,47937,file,current,current,review,2026-08-09T10:48:07Z,
CLAUDE.md,False,2524,file,current,current,review,2026-08-09T10:48:07Z,
MAINTENANCE.md,False,5350,file,current,current,review,2026-08-09T10:48:07Z,
README.md,False,3998,file,current,current,review,2026-08-09T10:48:07Z,
REPO_LAYOUT.md,False,5712,file,current,current,review,2026-08-09T10:48:07Z,
START_HERE.md,False,2415,file,current,current,review,2026-08-09T10:48:07Z,
_compat,True,5989,directory,current,current,ignore,2026-08-09T10:48:07Z,
apps,True,9906172077,code,current,current,review,2026-08-09T10:48:07Z,
archive,True,10961487484,archive,archive,archive,ignore,2026-08-09T10:48:07Z,
artifacts,True,129473797220,generated,current,review,ignore,2026-08-09T10:48:07Z,
configs,True,177725,config,current,current,review,2026-08-09T10:48:07Z,
data,True,97442892992,data_layer,current,current,review,2026-08-09T10:48:07Z,
dataset,True,62066840795,dataset,current,current,selective_track,2026-08-09T10:48:07Z,
docs,True,12121451093,doc,current,current,review,2026-08-09T10:48:07Z,
experiments,True,551514615923,experiment_artifacts,current,generated,ignore_large,2026-08-09T10:48:07Z,
external,True,36408620236,third_party,current,third-party,ignore,2026-08-09T10:48:07Z,
lib,True,4096,directory,current,current,review,2026-08-09T10:48:07Z,
logs,True,8192,directory,current,current,review,2026-08-09T10:48:07Z,
models,True,6766,directory,current,current,track,2026-08-09T10:48:07Z,
output,True,631734,generated,generated,generated,review,2026-08-09T10:48:07Z,
paper,True,42831,doc,current,current,review,2026-08-09T10:48:07Z,
pipeline,True,799651433717,code,current,current,track_code_ignore_artifacts,2026-08-09T10:48:07Z,
results,True,115774570,generated,current,review,review,2026-08-09T10:48:07Z,
scripts,True,10790339,code,current,current,review,2026-08-09T10:48:07Z,
tests,True,23669,directory,current,current,review,2026-08-09T10:48:07Z,
tmp,True,3549804064,temp,generated,generated,ignore,2026-08-09T10:48:07Z,
人机对比结果,True,58954136,directory,current,current,review,2026-08-09T10:48:07Z,
文字转写_Yijun Huang的个人会议室_20260728.txt,False,53679,file,current,current,review,2026-08-09T10:48:07Z,
胃充盈超声报告模板.docx,False,88878,file,current,current,review,2026-08-09T10:48:07Z,
