old_path,new_path,action,date,verified,notes
direction_annotation_batch.json,data/annotation/batches/direction_annotation_batch.json,mv+symlink,2026-05-29,yes,phase2
direction_annotations,data/annotation/outputs/direction_annotations,mv+symlink,2026-05-29,yes,phase2
gradcam_rejected (2).csv,artifacts/reports/gradcam_rejected.csv,mv+symlink,2026-05-29,yes,phase2
yolo11l.pt,artifacts/model_weights/yolo/yolo11l.pt,mv+symlink,2026-05-29,yes,phase2
yolo11m.pt,artifacts/model_weights/yolo/yolo11m.pt,mv+symlink,2026-05-29,yes,phase2
yolo11n.pt,artifacts/model_weights/yolo/yolo11n.pt,mv+symlink,2026-05-29,yes,phase2
yolo11s.pt,artifacts/model_weights/yolo/yolo11s.pt,mv+symlink,2026-05-29,yes,phase2
胃癌直接手术外部测试集(1).zip,artifacts/raw_imports/incoming/胃癌直接手术外部测试集(1).zip,mv+symlink,2026-05-29,yes,phase2 zip
外部测试集胃癌视频.zip,artifacts/raw_imports/incoming/外部测试集胃癌视频.zip,mv+symlink,2026-05-29,yes,phase2 zip
2024_crop_ui_unlabeled_lumen_for_labelme(1).zip,artifacts/raw_imports/incoming/2024_crop_ui_unlabeled_lumen_for_labelme(1).zip,mv+symlink,2026-05-29,yes,phase2 zip
2024_crop_ui_unlabeled_lumen_for_labelme(2).zip,artifacts/raw_imports/incoming/2024_crop_ui_unlabeled_lumen_for_labelme(2).zip,mv+symlink,2026-05-29,yes,phase2 zip
外部测试集炎症视频.zip,artifacts/raw_imports/incoming/外部测试集炎症视频.zip,mv+symlink,2026-05-29,yes,phase2 zip
200.zip,artifacts/raw_imports/incoming/200.zip,mv+symlink,2026-05-29,yes,phase2 zip
胃癌分期,/data/research/gastric/GastricTstaging/胃癌分期.bak_20260529,mv_backup,2026-05-29,yes,phase3
胃癌分期,data/raw/legacy_gastric_staging,symlink,2026-05-29,yes,phase3
胃癌直接手术外部测试集,/data/research/gastric/GastricTstaging/胃癌直接手术外部测试集.bak_20260529,mv_backup,2026-05-29,yes,phase3
胃癌直接手术外部测试集,data/raw/legacy_external_direct_surgery,symlink,2026-05-29,yes,phase3
胃腔,/data/research/gastric/GastricTstaging/胃腔.bak_20260529,mv_backup,2026-05-29,yes,phase3
胃腔,data/raw/legacy_lumen,symlink,2026-05-29,yes,phase3
胃壁区域可视化方向,/data/research/gastric/GastricTstaging/胃壁区域可视化方向.bak_20260529,mv_backup,2026-05-29,yes,phase3
胃壁区域可视化方向,data/raw/legacy_wall_viz,symlink,2026-05-29,yes,phase3
docs copy,archive/docs_legacy/docs_copy,mv+symlink,2026-05-29,yes,phase4 docs
docs copy,archive/docs_legacy/docs_copy,symlink,2026-05-29,yes,phase4 docs
frames_1fps,artifacts/video_frames/frames_1fps,mv+symlink,2026-05-29,yes,raw video frames
frames_1fps,artifacts/video_frames/frames_1fps,symlink,2026-05-29,yes,raw video frames
results,artifacts/results,mv+symlink,2026-05-29,yes,analysis outputs
results,artifacts/results,symlink,2026-05-29,yes,analysis outputs
output,artifacts/output,mv+symlink,2026-05-29,yes,export output
output,artifacts/output,symlink,2026-05-29,yes,export output
paper,docs/paper,mv+symlink,2026-05-29,yes,paper assets
paper,docs/paper,symlink,2026-05-29,yes,paper assets
tmp,artifacts/tmp,mv+symlink,2026-05-29,yes,temp workspace
tmp,artifacts/tmp,symlink,2026-05-29,yes,temp workspace
胃癌分期.bak_20260529,,delete_backup,2026-05-29,yes,phase8 cleanup after verify pass
胃癌直接手术外部测试集.bak_20260529,,delete_backup,2026-05-29,yes,phase8 cleanup after verify pass
胃腔.bak_20260529,,delete_backup,2026-05-29,yes,phase8 cleanup after verify pass
胃壁区域可视化方向.bak_20260529,,delete_backup,2026-05-29,yes,phase8 cleanup after verify pass
200.zip,_compat/200.zip,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
2024_crop_ui_unlabeled_lumen_for_labelme(1).zip,_compat/2024_crop_ui_unlabeled_lumen_for_labelme(1).zip,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
2024_crop_ui_unlabeled_lumen_for_labelme(2).zip,_compat/2024_crop_ui_unlabeled_lumen_for_labelme(2).zip,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
direction_annotation_batch.json,_compat/direction_annotation_batch.json,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
direction_annotations,_compat/direction_annotations,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
docs copy,_compat/docs copy,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
frames_1fps,_compat/frames_1fps,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
gradcam_rejected (2).csv,_compat/gradcam_rejected (2).csv,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
output,_compat/output,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
paper,_compat/paper,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
results,_compat/results,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
tmp,_compat/tmp,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
yolo11l.pt,_compat/yolo11l.pt,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
yolo11m.pt,_compat/yolo11m.pt,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
yolo11n.pt,_compat/yolo11n.pt,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
yolo11s.pt,_compat/yolo11s.pt,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
外部测试集炎症视频.zip,_compat/外部测试集炎症视频.zip,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
外部测试集胃癌视频.zip,_compat/外部测试集胃癌视频.zip,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
胃壁区域可视化方向,_compat/胃壁区域可视化方向,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
胃癌分期,_compat/胃癌分期,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
胃癌直接手术外部测试集,_compat/胃癌直接手术外部测试集,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
胃癌直接手术外部测试集(1).zip,_compat/胃癌直接手术外部测试集(1).zip,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
胃腔,_compat/胃腔,mv_symlink_to_compat,2026-05-29,yes,consolidate_compat
data/德化直接手术.zip,artifacts/raw_imports/incoming/德化直接手术.zip,mv+symlink,2026-05-29,yes,phase B data zip
docs/mainline/figures,artifacts/docs_exports/mainline_figures,mv+symlink,2026-05-29,yes,phase E docs slim
协和直接手术视频.zip,data/raw/legacy_gastric_staging/协和内部数据集/直接手术/{2018,2024,2025}直接手术/直接手术视频/,extract,2026-06-12,yes,1633 files GBK zip decode; manifest direct_surgery_video_extract_manifest.csv
协和直接手术视频.zip,artifacts/raw_imports/incoming/协和直接手术视频.zip,mv+symlink,2026-06-12,yes,zip archive; content extracted to legacy_gastric_staging
合格视频.zip,artifacts/raw_imports/incoming/合格视频.zip,mv+symlink,2026-06-12,yes,qualified reader videos zip
胃炎外部测试集.zip,artifacts/raw_imports/incoming/胃炎外部测试集.zip,mv+symlink,2026-06-12,yes,gastritis external zip
2025_Patient_Videos,data/raw/patient_videos_2025,mv+symlink,2026-06-12,yes,2025 XH folder-named prospective raw MP4s
临床资料_前瞻外部分析_20260609,data/staging_review/clinical_prospective_20260609,mv+symlink,2026-06-12,yes,clinical staging CSVs for 2025 prospective
人机对比结果,docs/clinical_validation/human_ai_comparison,merge_into,2026-06-12,yes,human vs AI reader comparison outputs
results,artifacts/results,merge_into,2026-06-12,yes,root dir merged into artifacts
2025_Patient_Videos,_compat/2025_Patient_Videos,mv_symlink_to_compat,2026-06-12,yes,consolidate_compat
results,_compat/results,mv_symlink_to_compat,2026-06-12,yes,consolidate_compat
tmp,_compat/tmp,mv_symlink_to_compat,2026-06-12,yes,consolidate_compat
临床资料_前瞻外部分析_20260609,_compat/临床资料_前瞻外部分析_20260609,mv_symlink_to_compat,2026-06-12,yes,consolidate_compat
人机对比结果,_compat/人机对比结果,mv_symlink_to_compat,2026-06-12,yes,consolidate_compat
协和直接手术视频.zip,_compat/协和直接手术视频.zip,mv_symlink_to_compat,2026-06-12,yes,consolidate_compat
合格视频.zip,_compat/合格视频.zip,mv_symlink_to_compat,2026-06-12,yes,consolidate_compat
胃炎外部测试集.zip,_compat/胃炎外部测试集.zip,mv_symlink_to_compat,2026-06-12,yes,consolidate_compat
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd46-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd46-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd40-3.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd40-3.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd5-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd5-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd30-3.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd30-3.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/11207481-5.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/11207481-5.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/6042105-7.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/6042105-7.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd10-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd10-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/7530288-4.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/7530288-4.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd45-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd45-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd46-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd46-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/dhwa13-4.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/dhwa13-4.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd40-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd40-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd60-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd60-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/dhwa9-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/dhwa9-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd38-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd38-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd60-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd60-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd63-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd63-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/dhwa1-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/dhwa1-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/dhwa16-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/dhwa16-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd57-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd57-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd48-5.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd48-5.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd1-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd1-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/11209432-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/11209432-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd41-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd41-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/dhwa8-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/dhwa8-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/dhwa2-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/dhwa2-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd42-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd42-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/dhwa14-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/dhwa14-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd45-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd45-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd33-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd33-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/dhwa13-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/dhwa13-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd36-2.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd36-2.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/7207986-9.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/7207986-9.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd52-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd52-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
2026-07-24T08:11:13Z,quarantine_move,dataset/external/{center}/crop_ui/videos/hbd58-1.mp4,dataset/_quarantine/external__center_placeholder/crop_ui/videos/hbd58-1.mp4,literal {center} template dir; MD5-duplicate of hospital crop_ui videos
