crop_ui,n_images,n_videos,n_overlays,n_roi_masks,n_annotations,cov_images_with_video,cov_images_with_overlay,cov_images_with_roi_mask,cov_images_with_annotation,cov_images_complete_quad,cov_orphan_videos,miss_video,miss_overlay,miss_roi_mask,miss_annotation
dataset/external/crop_ui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset/external/{center}/crop_ui,0,92,0,0,0,0,0,0,0,0,92,0,0,0,0
dataset/external/三明市第二医院/crop_ui,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0
dataset/external/中核五〇四医院/crop_ui,216,216,216,216,216,216,216,216,216,216,0,0,0,0,0
dataset/external/佛山市第一人民医院/crop_ui,112,112,112,112,112,112,112,112,112,112,0,0,0,0,0
dataset/external/北京友谊医院/crop_ui,124,124,124,124,124,124,124,124,124,124,0,0,0,0,0
dataset/external/福建省德化县医院/crop_ui,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0
dataset/external/福建省立医院/crop_ui,220,220,220,220,220,220,220,220,220,220,0,0,0,0,0
dataset/external/福建省肿瘤医院/crop_ui,436,436,436,436,436,436,436,436,436,436,0,0,0,0,0
dataset/external/莆田学院附属医院/crop_ui,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,0,0,0,0,0
dataset/external/莆田市第一医院/crop_ui,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,342,0,342,342,342,0,342,342,342,0,0,342,0,0,0
dataset/gastritis_external/processed_images/中核五〇四医院/crop_ui,280,0,280,280,280,0,280,280,280,0,0,280,0,0,0
dataset/gastritis_external/processed_images/宁德市医院/crop_ui,51,0,51,51,51,0,51,51,51,0,0,51,0,0,0
dataset/gastritis_external/processed_images/福建省德化县医院/crop_ui,200,0,200,200,200,0,200,200,200,0,0,200,0,0,0
dataset/gastritis_external/processed_images/福建省肿瘤医院/crop_ui,199,0,199,199,199,0,199,199,199,0,0,199,0,0,0
dataset/gastritis_external/processed_images/莆田学院附属医院/crop_ui,1674,0,1674,1674,1674,0,1674,1674,1674,0,0,1674,0,0,0
dataset/internal/prospective_2025/2025/crop_ui,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,0,0,0,0,0
dataset/internal/training_2018_2024/2018/crop_ui,3638,3638,3638,3638,3638,3638,3638,3638,3638,3638,0,0,0,0,0
dataset/internal/training_2018_2024/2019/crop_ui,2853,2853,2853,2853,2853,2853,2853,2853,2853,2853,0,0,0,0,0
dataset/internal/training_2018_2024/2020_2023/crop_ui,199,199,199,199,199,199,199,199,199,199,0,0,0,0,0
dataset/internal/training_2018_2024/2024/crop_ui,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,0,0,0,0,0
