crop_ui,image,has_video,has_overlay,has_roi_mask,has_annotation,complete_quad,video,overlay,roi_mask,annotation
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz6-7.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz6-7_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz6-7.png,三明市第二医院__图片__三明市第二医院__图片__smyz6-7.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz23-3.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz23-3_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz23-3.png,三明市第二医院__图片__三明市第二医院__图片__smyz23-3.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz4-3.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz4-3_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz4-3.png,三明市第二医院__图片__三明市第二医院__图片__smyz4-3.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz40-3.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz40-3_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz40-3.png,三明市第二医院__图片__三明市第二医院__图片__smyz40-3.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz2-3.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz2-3_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz2-3.png,三明市第二医院__图片__三明市第二医院__图片__smyz2-3.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz29-3.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz29-3_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz29-3.png,三明市第二医院__图片__三明市第二医院__图片__smyz29-3.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz54-2.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz54-2_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz54-2.png,三明市第二医院__图片__三明市第二医院__图片__smyz54-2.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz24-1.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz24-1_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz24-1.png,三明市第二医院__图片__三明市第二医院__图片__smyz24-1.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz2-1.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz2-1_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz2-1.png,三明市第二医院__图片__三明市第二医院__图片__smyz2-1.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz71-5.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz71-5_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz71-5.png,三明市第二医院__图片__三明市第二医院__图片__smyz71-5.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz28-3.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz28-3_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz28-3.png,三明市第二医院__图片__三明市第二医院__图片__smyz28-3.json
dataset/gastritis_external/processed_images/三明市第二医院/crop_ui,三明市第二医院__图片__三明市第二医院__图片__smyz16-1.jpg,0,1,1,1,0,,三明市第二医院__图片__三明市第二医院__图片__smyz16-1_overlay.jpg,三明市第二医院__图片__三明市第二医院__图片__smyz16-1.png,三明市第二医院__图片__三明市第二医院__图片__smyz16-1.json
