dataset_id,version,role,physical_root,modeling_splits_root,manifest_paths,clinical_registry,status,notes,updated_at
tstage_4class_mainline,2026-05,current_training,"dataset/internal,dataset/external",pipeline/data/tstaging_4class_region_contrastive_full/regions/,dataset/internal/manifest.csv;dataset/external/manifest.csv,dataset/tables/clinical_table_registry.csv,current,Formal T-stage 4-class; see dataset/DATASET_GUIDE.md,2026-05-29
tstage_split_train,2026-05,modeling_split,pipeline/data/tstaging_4class_region_contrastive_full/regions/train_clinical.csv,pipeline/data/tstaging_4class_region_contrastive_full/regions/train_clinical.csv,,,current,row_count=8783,2026-05-29
tstage_split_val,2026-05,modeling_split,pipeline/data/tstaging_4class_region_contrastive_full/regions/val_clinical.csv,pipeline/data/tstaging_4class_region_contrastive_full/regions/val_clinical.csv,,,current,row_count=1041,2026-05-29
tstage_split_test_external,2026-05,modeling_split,pipeline/data/tstaging_4class_region_contrastive_full/regions/test_external_clinical.csv,pipeline/data/tstaging_4class_region_contrastive_full/regions/test_external_clinical.csv,,,current,row_count=2298,2026-05-29
tstage_split_test_external_newzip,2026-05,modeling_split,pipeline/data/tstaging_4class_region_contrastive_full/regions/test_external_newzip_clinical.csv,pipeline/data/tstaging_4class_region_contrastive_full/regions/test_external_newzip_clinical.csv,,,current,row_count=495,2026-05-29
tstage_split_test_prospective,2026-05,modeling_split,pipeline/data/tstaging_4class_region_contrastive_full/regions/test_prospective_clinical.csv,pipeline/data/tstaging_4class_region_contrastive_full/regions/test_prospective_clinical.csv,,,current,row_count=234,2026-05-29
center_internal,2026-05,center_mapping,dataset/external/internal,,,dataset/tables/center_name_registry.csv,current,福建医科大学附属协和医院,2026-05-29
center_莆田学院附属医院,2026-05,center_mapping,dataset/external/莆田学院附属医院,,,dataset/tables/center_name_registry.csv,current,莆田学院附属医院,2026-05-29
center_莆田市第一医院,2026-05,center_mapping,dataset/external/莆田市第一医院,,,dataset/tables/center_name_registry.csv,current,莆田市第一医院,2026-05-29
center_福建省肿瘤医院,2026-05,center_mapping,dataset/external/福建省肿瘤医院,,,dataset/tables/center_name_registry.csv,current,福建省肿瘤医院,2026-05-29
center_三明市第二医院,2026-05,center_mapping,dataset/external/三明市第二医院,,,dataset/tables/center_name_registry.csv,current,三明市第二医院,2026-05-29
center_福建省德化县医院,2026-05,center_mapping,dataset/external/福建省德化县医院,,,dataset/tables/center_name_registry.csv,current,福建省德化县医院,2026-05-29
center_北京友谊医院,2026-05,center_mapping,dataset/external/北京友谊医院,,,dataset/tables/center_name_registry.csv,current,北京友谊医院,2026-05-29
center_佛山市第一人民医院,2026-05,center_mapping,dataset/external/佛山市第一人民医院,,,dataset/tables/center_name_registry.csv,current,佛山市第一人民医院,2026-05-29
center_湖北中西医结合医院,2026-05,center_mapping,dataset/external/湖北中西医结合医院,,,dataset/tables/center_name_registry.csv,current,湖北中西医结合医院,2026-05-29
center_中核五〇四医院,2026-05,center_mapping,dataset/external/中核五〇四医院,,,dataset/tables/center_name_registry.csv,current,中核五〇四医院,2026-05-29
center_福建省立医院,2026-05,center_mapping,dataset/external/福建省立医院,,,dataset/tables/center_name_registry.csv,current,福建省立医院,2026-05-29
center_,2026-05,center_mapping,dataset/external/,,,dataset/tables/center_name_registry.csv,current,宁德市医院,2026-05-29
