report,report_short,cohort,level,aggregation,feature_set,model,split,auc_macro_ovr,early_vs_advanced_auc,t1_t2_auc,t2_t3_auc,t3_t4_auc
dinov3_v1_roi_classification_eval,E2E · DINO mask ROI,Prospective,image,OvR T1,dinov3_v1_roi_mask,end2end_classifier,test_prospective,0.860749506903353,,,,
dinov3_v1_post_t035_area0005_close3_roi_classification_eval,E2E · postproc mask,Prospective,image,OvR T1,dinov3_v1_roi_mask,end2end_classifier,test_prospective,0.8604865220249835,,,,
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,clinical_anatomic,random_forest,test_prospective_full,0.8139284694668858,0.9187136393018747,0.7836504580690627,0.8146043771043772,0.7552083333333334
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,clinical_anatomic,random_forest,test_prospective_full,0.8136013747726354,0.9191984486102134,0.7797744890768147,0.8150252525252525,0.7528136973180076
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,clinical_anatomic,random_forest,test_prospective_full,0.8129788157380886,0.9180995475113123,0.7787174066243834,0.8156565656565657,0.7510177203065136
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_top16_plus_clinical_anatomic,random_forest,test_prospective_full,0.8122502561403548,0.9182934712346477,0.780831571529246,0.8015572390572391,0.7473659003831418
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top16_plus_clinical_anatomic,random_forest,test_prospective_full,0.8122229328745401,0.9174854557207498,0.7794221282593375,0.8030303030303031,0.7446719348659003
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,frame,none,clinical_anatomic,random_forest,test_prospective_full,0.8118105611381181,0.9273258950117821,0.7744424035686172,0.8188768768768768,0.7471724137931035
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_top32_plus_clinical_anatomic,random_forest,test_prospective_full,0.8114525934653423,0.918972204266322,0.7758985200845666,0.8068181818181818,0.7433548850574714
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.8106974936124125,0.9160633484162896,0.7561663143058494,0.804503367003367,0.7449113984674329
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top32_plus_clinical_anatomic,random_forest,test_prospective_full,0.8102034840780737,0.9182934712346477,0.766737138830162,0.8087121212121212,0.7417385057471264
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top2_advanced,clinical_anatomic,random_forest,test_prospective_full,0.8097044341125359,0.9154492566257273,0.7794221282593375,0.8137626262626262,0.7419181034482758
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,clinical_anatomic,random_forest,test_prospective_full,0.8095700200721576,0.9169360051712994,0.7864693446088795,0.8141835016835016,0.7429956896551725
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.8094889086257219,0.9169036845507434,0.7392529950669485,0.8026094276094276,0.7442528735632185
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_top16_plus_clinical_anatomic,random_forest,test_prospective_full,0.8094062331037445,0.9155785391079508,0.7762508809020437,0.8002946127946128,0.7410201149425287
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_rich_scalar_plus_clinical_anatomic,random_forest,test_prospective_full,0.8091430881517987,0.9156108597285068,0.7367864693446089,0.8051346801346801,0.7426364942528736
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.8091132233278286,0.9152876535229477,0.7420718816067653,0.8047138047138048,0.744073275862069
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,frame,none,clinical_anatomic,random_forest,test_prospective_full,0.8083599956690293,0.8884211823910316,0.780588591009877,0.8157150012521913,0.7944677461308363
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,frame,none,clinical_anatomic,random_forest,test_prospective_full,0.8083599956690293,0.8884211823910316,0.780588591009877,0.8157150012521913,0.7944677461308363
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_rich_scalar_plus_clinical_anatomic,random_forest,test_prospective_full,0.8069862526231701,0.9146089204912735,0.7237491190979564,0.798611111111111,0.7450909961685823
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.8069141950686651,0.9153522947640595,0.7276250880902043,0.7977693602693603,0.74485153256705
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_top32_plus_clinical_anatomic,random_forest,test_prospective_full,0.8067185407148145,0.9159663865546219,0.7558139534883721,0.8042929292929293,0.7405411877394636
dinov3_v1_roi_classification_eval,E2E · DINO mask ROI,External,image,OvR T1,dinov3_v1_roi_mask,end2end_classifier,test_external,0.8061494500877606,,,,
dinov3_v1_post_t035_area0005_close3_roi_classification_eval,E2E · postproc mask,External,image,OvR T1,dinov3_v1_roi_mask,end2end_classifier,test_external,0.8061380608111443,,,,
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_top32_plus_clinical_anatomic,random_forest,test_prospective_full,0.8056263970463795,0.9173561732385261,0.7758985200845666,0.8055555555555556,0.7243175287356323
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top2_advanced,dino_top16_plus_clinical_anatomic,random_forest,test_prospective_full,0.805408696219802,0.9116677440206852,0.7677942212825933,0.7946127946127947,0.7338362068965518
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_top16_plus_clinical_anatomic,random_forest,test_prospective_full,0.8048938363182842,0.9182934712346478,0.773784355179704,0.8042929292929294,0.725933908045977
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.8043626475602614,0.9126373626373626,0.7251585623678647,0.8000841750841751,0.7425766283524905
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.8043111480604412,0.9161926308985132,0.7610993657505286,0.8074494949494949,0.7297054597701149
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top3_advanced,clinical_anatomic,random_forest,test_prospective_full,0.8033517445197573,0.8852107644677305,0.7587301587301587,0.7716262975778546,0.8241192198804657
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top3_advanced,clinical_anatomic,random_forest,test_prospective_full,0.8033517445197573,0.8852107644677305,0.7587301587301587,0.7716262975778546,0.8241192198804657
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_top16_plus_clinical_anatomic,logreg,test_prospective_full,0.8032358810306561,0.8957821590174532,0.7861169837914024,0.7847222222222222,0.7418582375478927
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top2_advanced,dino_top32_plus_clinical_anatomic,random_forest,test_prospective_full,0.8032282992717545,0.9123141564318035,0.7512332628611699,0.8057659932659932,0.733117816091954
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_rich_scalar_plus_clinical_anatomic,random_forest,test_prospective_full,0.8031149348532993,0.9149967679379444,0.7470049330514448,0.8080808080808081,0.7250957854406129
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_rich_scalar_plus_clinical_anatomic,random_forest,test_prospective_full,0.8030826653845702,0.9122171945701358,0.704721634954193,0.7954545454545454,0.7448515325670498
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.8030608123740204,0.9153522947640595,0.7498238195912614,0.806607744107744,0.7275502873563219
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top16_plus_clinical_anatomic,logreg,test_prospective_full,0.8028310870212797,0.8949256625727213,0.7818886539816772,0.7864057239057239,0.7423371647509579
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top2_advanced,clinical_anatomic,random_forest,test_prospective_full,0.8027554425594681,0.8817972533142813,0.7643323996265173,0.767156862745098,0.8209342560553633
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top2_advanced,clinical_anatomic,random_forest,test_prospective_full,0.8027554425594681,0.8817972533142813,0.7643323996265173,0.767156862745098,0.8209342560553633
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_top64_plus_clinical_anatomic,random_forest,val,0.8024180261018348,0.9019230769230769,0.6433333333333333,0.8392156862745098,0.7373288938216797
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,max,dino_top64_plus_clinical_anatomic,random_forest,val,0.8024180261018348,0.9019230769230769,0.6433333333333333,0.8392156862745098,0.7373288938216797
