script,status,task,readme_section,owner_workspace,move_candidate,safe_to_run,uses_project_root,notes
_pipeline_report_bridge.py,runtime,module,,scripts,scripts/runtime,import_only,true,
aggregate_reader_results.py,runtime,module,,scripts,scripts/runtime,import_only,true,
align_acc_boost2_to_official_freeze.py,maintenance,data_governance,3,scripts,scripts/maintenance,yes,true,
analyze_binary_current_gastritis_errors.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
analyze_breakthrough_redesign_diag_v1.py,runtime,module,,scripts,scripts/runtime,import_only,true,
analyze_clean_calibration_confidence.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
analyze_deep_report_complementarity.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
analyze_gastric_agent_predictions.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
analyze_gc_us_feature_batch_stats.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
analyze_gc_us_feature_lasso_shap_triplets_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
analyze_gc_us_spiculation_argument.py,runtime,module,,scripts,scripts/runtime,import_only,true,
analyze_gc_us_tscore_latest_lasso_3d_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
analyze_imaging_truth_paper_metrics.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
analyze_imaging_truth_tstage_corr.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
analyze_imaging_truth_tstage_corr_v3.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
analyze_reader_audit_events.py,runtime,module,,scripts,scripts/runtime,import_only,true,
analyze_reader_round2_expertise_uplift.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
analyze_reader_study_v150_eval.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
analyze_report_subgroups_clean_agent.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
analyze_round1_reading_time.py,runtime,module,,scripts,scripts/runtime,import_only,true,
analyze_round1_understage_overstage.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
analyze_tscore_deeper_v1.py,runtime,module,,scripts,scripts/runtime,import_only,true,
analyze_wall_penetration.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
analyze_wall_strip_statistics.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
append_benign_visual_similar_20260826.py,runtime,module,,scripts,scripts/runtime,import_only,true,
apply_dinov3_postprocess_masks.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
apply_report_stage_override_clean.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
assert_temporal_claims_deferred.py,current,segmentation,6,scripts,scripts/current,yes,true,
audit_clean_validation_integrity.py,maintenance,governance,,scripts,scripts/maintenance,yes,false,
audit_clinical_table_media_20260814.py,current,data_governance,3,scripts,scripts/current,review_paths,false,
audit_crop_ui_image_mask_video.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_current_dataset_assets.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_external_center_hospital_overlay.py,legacy,legacy,,scripts,scripts/legacy,no,true,hardcoded paths or README §7
audit_external_newzip_failure.py,maintenance,governance,,scripts,scripts/maintenance,yes,false,
audit_gastric_agent_source_errors.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_gastric_agent_split_leakage.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_mainline_eval_chain.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_modeling_dataset_contracts.py,maintenance,data_governance,3,scripts,scripts/maintenance,yes,true,
audit_newzip_domain_gap.py,maintenance,governance,,scripts,scripts/maintenance,yes,false,
audit_patient_multiview_data.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_reader_cohort_overlap_20260826.py,maintenance,governance,3,scripts,scripts/maintenance,yes,true,
audit_reader_subset.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_task_datasets.py,maintenance,data_governance,3,scripts,scripts/maintenance,yes,true,
audit_ultrasound_report_registry.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_video_dataset_completeness.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
batch_convert.py,legacy,data_governance,3,scripts,scripts/legacy,no,false,hardcoded paths or README §7
batch_crop.py,legacy,data_governance,3,scripts,scripts/legacy,no,false,hardcoded paths or README §7
boost_reader_study_v150_acc.py,runtime,module,,scripts,scripts/runtime,import_only,true,
boost_reader_study_v150_acc_advanced.py,runtime,module,,scripts,scripts/runtime,import_only,true,
boost_reader_study_v150_acc_target75.py,runtime,module,,scripts,scripts/runtime,import_only,true,
bootstrap_gus_o3_decode_20260826.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
bootstrap_tstaging_ci.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_accuracy_0_7_baseline_report.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_accuracy_0_7_frozen_eval_and_error_audit.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_agent_full_report.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_agent_traces.py,runtime,module,8,scripts,scripts/runtime,import_only,true,
build_architecture_html.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_asset_manifest.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_auto_discovery_seed_prompts.py,current,segmentation,6,scripts,scripts/current,yes,true,
build_autoresearch_results_summary.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
build_balanced_routing_records.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_binary_box_mask_pack_20260825.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_binary_current_gastritis_dataset.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_binary_fn_must_review_list.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_binary_multicenter_joint_unseen.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_binary_noshortcut_ab_20260824.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_binary_zmlholdout_clinmask_20260825.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_case001_video_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_clean_agent_split_manifest.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_clean_validation_leaderboard.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_clinical_loop_static_manifest.py,current,segmentation,6,scripts,scripts/current,yes,true,
build_clip_prompt_report_features.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_dataset_detail_html.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_dataset_inventory.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_dataset_registry.py,maintenance,governance,3,scripts,scripts/maintenance,yes,true,
build_dataset_visual_overview.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_dense_cine_annotation_subset.py,utility,utility,6,scripts,scripts/analysis,review,true,
build_detailed_clean_accuracy_validation.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_dino_region_token_manifest.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_e2e_clinical_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_experiments_registry.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_experiments_tree_index.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_external_center_eval_table.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
build_full_prospective_tstaging_csv.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_full_queue_t2t3_report_20260809.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_gastric_agent_baseline_model_card.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_gastric_agent_history_library.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_gastric_agent_publication_tables.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_gastric_paper_assets.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_gastritis_video_previews.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_gc_us_spicule_reviewer_html_20260815.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_algorithm_html_20260815.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_anatomic_coverage_tables_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_coverage_manifest_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_feature_pack_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_results_html_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_results_html_zh_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_human_ai_comparison_full_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_human_ai_comparison_html.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_human_ai_comparison_package.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_image_video_pair_index.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_imaging_truth_charts_zh.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_log_index.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_lumen_crop_segmentation_dataset.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_ma_staging_memory_bank.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_mask_grounded_records.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_mask_region_supervision.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_model_inventory.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_multi_agent_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_multimodal_agent_dataset.py,runtime,module,8,scripts,scripts/runtime,import_only,true,
